suppkey,s_address,n_comment,n_name,nationkey,s_acctbal,s_name,s_phone
440.0,s4unoe4wds9vxlzfjjscvxz0w8xu ycgqgbxvx,,,,,,
476.0,zvt qi2gmbh,,,,,,
491.0,mtbdcjhq7d,,,,,,
1339.0,5c4jzbvzlzvxrok,,,,,,
1500.0,"wdmf5xlxtqch9ctvu,",,,,,,
1753.0,hl8hn83r16ekfoedi31lqku5 2exdrlzfewb,,,,,,
4498.0,lklmzk6xmdlt,,,,,,
4582.0,"wb0xkcsg3r,mnq n,h9vixjjr9arhfvkgmdf",,,,,,
4767.0,mr0ndvqzvoirb1i6dmxolytxwyyi m,,,,,,
4891.0,c4dxorexw3nogqgyrewhwddxk1ni6bopawgmo8i,,,,,,
5232.0,xlsj2gbkdjqklxbxsua14uguomr5smqhfntl,,,,,,
5296.0,"sk,n6ifeitbyyqugr7n",,,,,,
5986.0,3ftp1qsqzn9lr,,,,,,
6939.0,c  hstg9rcq,,,,,,
7092.0,",gjn1uh1ofr9n3xs4rcdox4dsv67ywl",,,,,,
7381.0,"zhlai,ux7pd,0p8jk2kx",,,,,,
7387.0,tttg9q9ubnywbrydokvzqnifkx5jxvuhfdiuay,,,,,,
7903.0,lyp 8nwpsgd59y0t5w06rvy,,,,,,
7981.0,nsj96vmroabexp,,,,,,
8520.0,"rqrvdgd0er j9 b41vr2,3",,,,,,
8554.0,uvtvfbwh7wjcm,,,,,,
8613.0,yrkoyfquby8b4jyx 4ix,,,,,,
8977.0,c7r3uhqos3tt6i4jiswvf9emp8gsgowiqe,,,,,,
9419.0,ltahuzapjxc3j1yfloovzzgg,,,,,,
9510.0,"g5woxixdya,crcukggwg5zdceh7j",,,,,,
5572.0,,,,,,,
6094.0,,,,,,,
5319.0,,,,,,,
6285.0,,,,,,,
8921.0,,,,,,,
7574.0,,,,,,,
3287.0,,,,,,,
3255.0,,,,,,,
8294.0,,,,,,,
6212.0,,,,,,,
7508.0,,,,,,,
2234.0,,,,,,,
915.0,,,,,,,
7869.0,,,,,,,
5980.0,,,,,,,
869.0,,,,,,,
4068.0,,,,,,,
5924.0,,,,,,,
7418.0,,,,,,,
5220.0,,,,,,,
8527.0,,,,,,,
6464.0,,,,,,,
6008.0,,,,,,,
